oeisID,n,boundary,buckets,arcCodes,arcCodeBitWidth,crossingsBitWidth
A000682,32,26,3343,2141,54,8
A000682,32,25,7106,4376,52,9
A000682,32,24,14587,8995,50,11
A000682,32,23,29370,17974,48,13
A000682,32,22,58886,35420,46,14
A000682,32,21,112702,67436,44,16
A000682,32,20,213832,125042,42,17
A000682,32,19,378801,216991,40,19
A000682,32,18,644901,357068,38,21
A000682,32,17,1003146,535485,36,22
A000682,32,16,1457001,748586,34,24
A000682,32,15,1915119,939680,32,26
A000682,32,14,2202762,1000525,30,27
A000682,32,13,2030967,793970,28,29
A000682,32,12,1312481,385680,26,31
A000682,32,11,535497,115907,24,32
A000682,32,10,159137,33536,22,34
A000682,32,9,46181,9823,20,36
A000682,32,8,13623,2950,18,38
A000682,32,7,4087,895,16,39
A000682,32,6,1254,286,14,41
A000682,32,5,392,90,12,43
A000682,32,4,125,32,10,44
A000682,32,3,40,10,8,46
A000682,32,2,12,4,6,47
A000682,32,1,3,1,4,47
A000682,33,33,0,18,72,1
A000682,33,32,48,48,66,1
A000682,33,31,165,104,64,2
A000682,33,30,355,224,62,3
A000682,33,29,749,501,60,5
A000682,33,28,1712,1050,58,6
A000682,33,27,3492,2230,56,8
A000682,33,26,7525,4659,54,9
A000682,33,25,15395,9478,52,11
A000682,33,24,31494,19399,50,13
A000682,33,23,63132,37980,48,14
A000682,33,22,123504,74589,46,16
A000682,33,21,235747,138361,44,17
A000682,33,20,433035,252319,42,19
A000682,33,19,753455,422538,40,21
A000682,33,18,1232751,673266,38,22
A000682,33,17,1871038,983050,36,24
A000682,33,16,2626659,1332136,34,26
A000682,33,15,3319434,1593398,32,27
A000682,33,14,3570650,1552529,30,29
A000682,33,13,2933353,1051296,28,31
A000682,33,12,1598645,405394,26,32
A000682,33,11,554445,115907,24,34
A000682,33,10,159137,33536,22,36
A000682,33,9,46181,9823,20,38
A000682,33,8,13623,2950,18,39
A000682,33,7,4087,895,16,41
A000682,33,6,1254,286,14,43
A000682,33,5,392,90,12,44
A000682,33,4,125,32,10,46
A000682,33,3,40,10,8,48
A000682,33,2,12,4,6,49
A000682,33,1,3,1,4,49
A000682,34,34,0,19,74,1
A000682,34,33,49,49,68,1
A000682,34,32,172,108,66,2
A000682,34,31,363,229,64,3
A000682,34,30,780,524,62,5
A000682,34,29,1768,1082,60,6
A000682,34,28,3656,2347,58,8
A000682,34,27,7842,4847,56,9
A000682,34,26,16265,10070,54,11
A000682,34,25,33199,20435,52,13
A000682,34,24,67655,40983,50,14
A000682,34,23,132493,80096,48,16
A000682,34,22,258905,153557,46,17
A000682,34,21,479697,280930,44,19
A000682,34,20,867568,495840,42,21
A000682,34,19,1455199,805983,40,22
A000682,34,18,2311329,1238978,38,24
A000682,34,17,3390891,1757432,36,26
A000682,34,16,4580341,2279954,34,27
A000682,34,15,5477009,2546032,32,29
A000682,34,14,5387332,2213989,30,31
A000682,34,13,3871817,1243553,28,32
A000682,34,12,1783151,406417,26,34
A000682,34,11,555468,115907,24,36
A000682,34,10,159137,33536,22,38
A000682,34,9,46181,9823,20,39
A000682,34,8,13623,2950,18,41
A000682,34,7,4087,895,16,43
A000682,34,6,1254,286,14,44
A000682,34,5,392,90,12,46
A000682,34,4,125,32,10,48
A000682,34,3,40,10,8,49
A000682,34,2,12,4,6,50
A000682,34,1,3,1,4,51
A000682,35,35,0,19,76,1
A000682,35,34,51,51,70,1
A000682,35,33,176,111,68,2
A000682,35,32,380,240,66,3
A000682,35,31,806,540,64,5
A000682,35,30,1852,1138,62,6
A000682,35,29,3805,2436,60,8
A000682,35,28,8261,5130,58,9
A000682,35,27,17073,10553,56,11
A000682,35,26,35323,21860,54,13
A000682,35,25,71901,43543,52,14
A000682,35,24,143295,87249,50,16
A000682,35,23,280822,166878,48,17
A000682,35,22,534355,316678,46,19
A000682,35,21,978874,563674,44,21
A000682,35,20,1713264,968216,42,22
A000682,35,19,2805336,1528776,40,24
A000682,35,18,4319575,2287668,38,26
A000682,35,17,6173318,3162486,36,27
A000682,35,16,8040691,3921211,34,29
A000682,35,15,9052952,4066968,32,31
A000682,35,14,8074634,3077718,30,32
A000682,35,13,4947978,1393068,28,34
A000682,35,12,1916024,406418,26,36
A000682,35,11,555469,115907,24,38
A000682,35,10,159137,33536,22,39
A000682,35,9,46181,9823,20,41
A000682,35,8,13623,2950,18,43
A000682,35,7,4087,895,16,44
A000682,35,6,1254,286,14,46
A000682,35,5,392,90,12,48
A000682,35,4,125,32,10,49
A000682,35,3,40,10,8,51
A000682,35,2,12,4,6,52
A000682,35,1,3,1,4,53
A000682,36,36,0,20,78,1
A000682,36,35,52,52,72,1
A000682,36,34,183,115,70,2
A000682,36,33,388,245,68,3
A000682,36,32,837,563,66,5
A000682,36,31,1908,1170,64,6
A000682,36,30,3969,2553,62,8
A000682,36,29,8578,5318,60,9
A000682,36,28,17943,11145,58,11
A000682,36,27,37028,22896,56,13
A000682,36,26,76424,46546,54,14
A000682,36,25,152284,92756,52,16
A000682,36,24,303982,182076,50,17
A000682,36,23,581063,345333,48,19
A000682,36,22,1095737,639642,46,21
A000682,36,21,1948698,1111477,44,22
A000682,36,20,3324541,1846568,42,24
A000682,36,19,5281405,2841020,40,26
A000682,36,18,7892629,4127242,38,27
A000682,36,17,10900076,5485678,36,29
A000682,36,16,13487427,6413539,34,31
A000682,36,15,14076760,6009119,32,32
A000682,36,14,11088900,3865629,30,34
A000682,36,13,5797537,1436365,28,36
A000682,36,12,1958298,406418,26,38
A000682,36,11,555469,115907,24,39
A000682,36,10,159137,33536,22,41
A000682,36,9,46181,9823,20,43
A000682,36,8,13623,2950,18,44
A000682,36,7,4087,895,16,46
A000682,36,6,1254,286,14,48
A000682,36,5,392,90,12,50
A000682,36,4,125,32,10,51
A000682,36,3,40,10,8,53
A000682,36,2,12,4,6,54
A000682,36,1,3,1,4,54
A000682,37,37,0,20,80,1
A000682,37,36,54,54,74,1
A000682,37,35,187,118,72,2
A000682,37,34,405,256,70,3
A000682,37,33,863,579,68,5
A000682,37,32,1992,1226,66,6
A000682,37,31,4118,2642,64,8
A000682,37,30,8997,5601,62,9
A000682,37,29,18751,11628,60,11
A000682,37,28,39152,24321,58,13
A000682,37,27,80670,49106,56,14
A000682,37,26,163086,99909,54,16
A000682,37,25,325899,195397,52,17
A000682,37,24,635767,381127,50,19
A000682,37,23,1207553,707942,48,21
A000682,37,22,2219713,1285814,46,22
A000682,37,21,3866456,2173000,44,24
A000682,37,20,6404525,3508524,42,26
A000682,37,19,9938076,5292602,40,27
A000682,37,18,14483567,7482062,38,29
A000682,37,17,19330045,9580429,36,31
A000682,37,16,22742215,10469002,34,32
A000682,37,15,21703962,8741927,32,34
A000682,37,14,14900810,4608679,30,36
A000682,37,13,6495557,1439437,28,38
A000682,37,12,1961369,406418,26,39
A000682,37,11,555469,115907,24,41
A000682,37,10,159137,33536,22,43
A000682,37,9,46181,9823,20,44
A000682,37,8,13623,2950,18,46
A000682,37,7,4087,895,16,48
A000682,37,6,1254,286,14,50
A000682,37,5,392,90,12,51
A000682,37,4,125,32,10,53
A000682,37,3,40,10,8,54
A000682,37,2,12,4,6,56
A000682,37,1,3,1,4,56
A000682,38,38,0,21,82,1
A000682,38,37,55,55,76,1
A000682,38,36,194,122,74,2
A000682,38,35,413,261,72,3
A000682,38,34,894,602,70,5
A000682,38,33,2048,1258,68,6
A000682,38,32,4282,2759,66,8
A000682,38,31,9314,5789,64,9
A000682,38,30,19621,12220,62,11
A000682,38,29,40857,25357,60,13
A000682,38,28,85193,52109,58,14
A000682,38,27,172075,105416,56,16
A000682,38,26,349059,210595,54,17
A000682,38,25,682477,409784,52,19
A000682,38,24,1324926,784416,50,21
A000682,38,23,2458789,1432247,48,22
A000682,38,22,4433267,2532936,46,24
A000682,38,21,7512109,4166576,44,26
A000682,38,20,12103327,6549908,42,27
A000682,38,19,18313082,9630981,40,29
A000682,38,18,25810004,13156464,38,31
A000682,38,17,33004715,15951059,36,32
A000682,38,16,36166618,16003046,34,34
A000682,38,15,31051366,11543299,32,36
A000682,38,14,18240006,5005157,30,38
A000682,38,13,6852832,1439437,28,39
A000682,38,12,1961369,406418,26,41
A000682,38,11,555469,115907,24,43
A000682,38,10,159137,33536,22,44
A000682,38,9,46181,9823,20,46
A000682,38,8,13623,2950,18,48
A000682,38,7,4087,895,16,50
A000682,38,6,1254,286,14,51
A000682,38,5,392,90,12,53
A000682,38,4,125,32,10,55
A000682,38,3,40,10,8,56
A000682,38,2,12,4,6,57
A000682,38,1,3,1,4,58
A000682,39,39,0,21,84,1
A000682,39,38,57,57,78,1
A000682,39,37,198,125,76,2
A000682,39,36,430,272,74,3
A000682,39,35,920,618,72,5
A000682,39,34,2132,1314,70,6
A000682,39,33,4431,2848,68,8
A000682,39,32,9733,6072,66,9
A000682,39,31,20429,12703,64,11
A000682,39,30,42981,26782,62,13
