oeisID,n,k,buckets,nLess_k,nLess_kHalf,kOdd,nLess_kOdd,expGrowth,maxedOut,oddOdd,x,coefficient,baseFormula,exponent,startCoefficient
A005316,32,15,647118,17,9,TRUE,TRUE,FALSE,FALSE,TRUE,14.13,1.556,2131035.193,0,1.556
A005316,32,14,970381,18,9,FALSE,FALSE,FALSE,FALSE,FALSE,14.13,1.5803,2164315.498,0,1.5803
A005316,32,13,1142431,19,10,TRUE,TRUE,FALSE,FALSE,TRUE,15.7,1.556,10243136.46,0,1.556
A005316,33,17,445014,16,8,TRUE,FALSE,FALSE,FALSE,FALSE,12.56,1.8047,514213.7803,0,1.8047
A005316,33,16,865071,17,9,FALSE,TRUE,FALSE,FALSE,FALSE,14.13,0.834,1142212.951,0,0.834
A005316,33,15,1420971,18,9,TRUE,FALSE,FALSE,FALSE,FALSE,14.13,1.8047,2471644.738,0,1.8047
A005316,33,14,1953451,19,10,FALSE,TRUE,FALSE,FALSE,FALSE,15.7,0.834,5490215.816,0,0.834
A005316,33,13,2008683,20,10,TRUE,FALSE,FALSE,FALSE,FALSE,15.7,1.8047,11880326.72,0,1.8047
A005316,34,17,772103,17,9,TRUE,TRUE,FALSE,FALSE,TRUE,14.13,1.556,2131035.193,0,1.556
A005316,34,16,1419716,18,9,FALSE,FALSE,FALSE,FALSE,FALSE,14.13,1.5803,2164315.498,0,1.5803
A005316,34,15,2200428,19,10,TRUE,TRUE,FALSE,FALSE,TRUE,15.7,1.556,10243136.46,0,1.556
A005316,34,14,2779663,20,10,FALSE,FALSE,FALSE,FALSE,FALSE,15.7,1.5803,10403103.18,0,1.5803
A005316,35,18,962310,17,9,FALSE,TRUE,FALSE,FALSE,FALSE,14.13,0.834,1142212.951,0,0.834
A005316,35,17,1867575,18,9,TRUE,FALSE,FALSE,FALSE,FALSE,14.13,1.8047,2471644.738,0,1.8047
A005316,35,16,3167211,19,10,FALSE,TRUE,FALSE,FALSE,FALSE,15.7,0.834,5490215.816,0,0.834
A005316,35,15,4550074,20,10,TRUE,FALSE,FALSE,FALSE,FALSE,15.7,1.8047,11880326.72,0,1.8047
A005316,35,14,5107533,21,11,FALSE,TRUE,FALSE,FALSE,FALSE,17.27,0.834,26389535.93,0,0.834
A005316,36,18,1666843,18,9,FALSE,FALSE,FALSE,FALSE,FALSE,14.13,1.5803,2164315.498,0,1.5803
A005316,36,17,3095876,19,10,TRUE,TRUE,FALSE,FALSE,TRUE,15.7,1.556,10243136.46,0,1.556
A005316,36,16,4970764,20,10,FALSE,FALSE,FALSE,FALSE,FALSE,15.7,1.5803,10403103.18,0,1.5803
A005316,36,15,6633729,21,11,TRUE,TRUE,FALSE,FALSE,TRUE,17.27,1.556,49235153.37,0,1.556
A005316,36,14,6663680,22,11,FALSE,FALSE,FALSE,FALSE,FALSE,17.27,1.5803,50004057.12,0,1.5803
A005316,37,19,2052330,18,9,TRUE,FALSE,FALSE,FALSE,FALSE,14.13,1.8047,2471644.738,0,1.8047
A005316,37,18,4060680,19,10,FALSE,TRUE,FALSE,FALSE,FALSE,15.7,0.834,5490215.816,0,0.834
